provider_ruc,provider_name,provider_lat,provider_lng,provider_heading,sum_coactive_debt
20602348106,CORPORACION ALME E.I.R.L.,-8.0948246,-79.0323706,PROD. ASEO Y LIMPIEZA,0.0
20571505488,GRUPO CONSTRUCTOR HAZ Y HNOS LA S.R.L.,-16.3912193,-71.5747551,OTROS SERVICIOS,0.0
20604357251,CORPORACION ALQA S.A.C.,-11.8413422,-77.1280897,ALIMENTOS,253109.0
20602777279,POTREROO S.A.C.,-12.046583914141413,-77.03489854747474,ALIMENTOS,161.0
20601592020,CORPORACION MAVALU E.I.R.L.,-13.160344823958333,-74.22296812291667,ALIMENTOS,0.0
20448728464,AGRO ANDINA DEL PERU SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,-15.5085249,-70.1241928,ALIMENTOS,1039.0
20542315980,AZLO PRODUCCIONES SOCIEDAD ANONIMA CERRADA,-6.7449577,-79.868795,ALIMENTOS,194.0
20476699101,THAYA SRL.,-5.1804021,-80.6113489,ALIMENTOS,0.0
20600981723,"IMPORTACIONES Y EXPORTACIONES ""TRAVEC"" S.A.C.",-16.3962368,-71.5365482,ALIMENTOS,15890.0
20532515956,COMPANY SANDOVAL E.I.R.L.  - COMSA E.I.R.L.,-12.0515251,-77.1150531,ALIMENTOS,0.0
20600524454,DISTRIBUIDORA DE GOLOSINAS Y ABARROTES ZOE S.A.C.,-11.9430053,-77.1352741,ALIMENTOS,0.0
20531068549,AGRO SERVICIOS Y PRODUCCION DE ALIMENTOS SAN JUAN DE PISCO S.R.L.,-12.0691925,-77.1162638,ALIMENTOS,0.0
20600224922,J & E INVERSIONES PACIFICO S.A.C.,-12.0231797,-77.1324714,ALIMENTOS,0.0
20419385442,UTILITARIOS MEDICOS S.A.C.,-11.9742447,-77.0633912,MATERIAL Y EQUIPO MEDICO,0.0
20523097271,PACIFICO SALUD SOCIEDAD ANONIMA CERRADA - PACIFICO SALUD S.A.C,-18.0187189,-70.238486,MATERIAL Y EQUIPO MEDICO,20.0
20510124881,VENTURY & ASOCIADOS S. A. C.,-11.981073,-77.1089577,MATERIAL Y EQUIPO MEDICO,0.0
20155196069,IRIMED EIRL,-12.0810031,-77.0950318,OTROS BIENES,0.0
20451319800,COMERCIALIZADORA SAN JUAN SAC,-3.7434083,-73.2470893,ALIMENTOS,0.0
20558684683,GRUPO VALENCIA S.A.C.,-12.062787,-77.0435009,PROD. ASEO Y LIMPIEZA,0.0
20603682344,DISTRIBUIDORA ROAZUL S.R.L.,-12.050781,-77.0959066,ALIMENTOS,3188.0
20600110625,INVERSIONES ANTONELA S.A.C.,-11.7422871,-76.6500625,MATERIAL Y EQUIPO MEDICO,0.0
20600159071,LUKAT CONTRATISTAS GENERALES E.I.R.L.,-8.1198876,-79.0212878,MATERIAL Y EQUIPO MEDICO,0.0
